food_name,food_origin,diet
Plantains,iran,Vegetarian
Jambalaya,belgium,Low-Fat
Bratwurst,slovenia,Flexitarian
Salad,ecuador,Sugar-Free
Jollof Rice,maldives,Keto
Pancakes,egypt,Low-Carb
Tonkatsu,panama,Gluten-Free
Plantains,iran,Diabetic-Friendly
Harira,poland,Whole30
Kimchi,nigeria,Low-Sodium
Coleslaw,west-bank,Dairy-Free
Baklava,solomon-islands,Flexitarian
Steak,russia,Sugar-Free
Udon,mauritania,Sugar-Free
Hotdog,puerto-rico,High-Protein
Pierogi,bosnia-and-herzegovina,Whole30
Pho,belgium,Low-Fat
Salad,ecuador,Flexitarian
Bratwurst,slovenia,Gluten-Free
Pancakes,burundi,Vegan
Pho,montenegro,Anti-Inflammatory
Baguette,congo-democratic-republic-of-the,Diabetic-Friendly
Harira,canada,Low-Sodium
Steak,guinea-bissau,Low-Carb
Carrot Cake,egypt,Anti-Inflammatory
Banoffee Pie,uruguay,Diabetic-Friendly
Laksa,nepal,Whole30
Nasi Goreng,philippines,Dairy-Free
Fried Chicken,oman,Pescatarian
Chow Mein,congo-democratic-republic-of-the,Vegan
Satay,bolivia,Vegan
Hummus,curacao,Vegetarian
Barbecue Ribs,iraq,Keto
Spring Rolls,tajikistan,Whole30
Salad,mozambique,Anti-Inflammatory
Burger,malawi,Keto
Pancakes,ireland,Sugar-Free
Hummus,solomon-islands,Carnivore
Curry,antigua-and-barbuda,Pescatarian
Hummus,curacao,Mediterranean
Nasi Goreng,sudan,Paleo
Bento Box,costa-rica,Low-Carb
Tamales,samoa,Dairy-Free
Burger,malawi,Anti-Inflammatory
Gumbo,isle-of-man,Carnivore
Pancakes,burundi,Pescatarian
Risotto,malaysia,Sugar-Free
Arepas,vietnam,Diabetic-Friendly
Fish and Chips,saint-lucia,Raw Food
Meatballs,malawi,Anti-Inflammatory
Jambalaya,czechia,Sugar-Free
Lamb Roast,turks-and-caicos-islands,Low-Fat
Empanadas,guinea,Low-Fat
Spring Rolls,cyprus,Low-Carb
Salad,namibia,Anti-Inflammatory
Roti,papua-new-guinea,Gluten-Free
Arepas,vanuatu,Diabetic-Friendly
Arepas,kuwait,Keto
Poke Bowl,italy,Vegan
Cornbread,canada,Sugar-Free
Ramen,djibouti,Carnivore
Tortilla,ecuador,Mediterranean
Pho,montenegro,High-Protein
Steamed Buns,cambodia,Vegetarian
Udon,mauritania,Low-Sodium
Risotto,nicaragua,Flexitarian
Miso Soup,congo-democratic-republic-of-the,High-Protein
Risotto,romania,Mediterranean
Steak,russia,Diabetic-Friendly
Gumbo,faroe-islands,Whole30
Gelato,cayman-islands,Gluten-Free
Salad,ecuador,FODMAP
Hummus,curacao,Low-Carb
Quiche,india,Keto
Cornbread,guinea,Carnivore
Tabbouleh,antigua-and-barbuda,Vegetarian
Tempura,cayman-islands,High-Protein
Salad,botswana,Vegan
Churros,latvia,Low-Sodium
Shepherd's Pie,isle-of-man,Paleo
Moussaka,aruba,Low-Carb
Quiche,guinea-bissau,Keto
Clam Chowder,malawi,Dairy-Free
Risotto,nicaragua,Gluten-Free
Jambalaya,belgium,Diabetic-Friendly
Chow Mein,greenland,High-Protein
Pasta,switzerland,Vegetarian
Spring Rolls,hungary,Raw Food
Arepas,kuwait,Whole30
Pozole,botswana,Paleo
Falafel,united-states,Gluten-Free
Pizza,dominican-republic,Low-Carb
Pho,portugal,High-Protein
Salad,brazil,Vegetarian
Harira,canada,Raw Food
Falafel,panama,Whole30
Gumbo,faroe-islands,Low-Sodium
Spring Rolls,tajikistan,Flexitarian
Dolma,sri-lanka,Pescatarian
Arepas,cote-divoire,Low-Sodium
Salad,malaysia,Sugar-Free
Clam Chowder,malawi,Low-Fat
Croissant,malta,Pescatarian
Borscht,mali,Low-Sodium
Banoffee Pie,montenegro,FODMAP
Goulash,antigua-and-barbuda,Raw Food
Ratatouille,eswatini,Whole30
Tacos,malta,High-Protein
Borscht,sweden,Whole30
Poke Bowl,china,Diabetic-Friendly
Falafel,moldova,Vegetarian
Cornbread,canada,Raw Food
Cheesecake,colombia,Pescatarian
Samosa,united-states,Keto
Ratatouille,syria,Low-Carb
Sticky Rice,pakistan,Keto
Pasta,northern-mariana-islands,Paleo
Lamb Roast,turkey-turkiye,Low-Sodium
Fish and Chips,saint-lucia,Gluten-Free
Miso Soup,iran,Mediterranean
Udon,nepal,Anti-Inflammatory
Pierogi,bosnia-and-herzegovina,Low-Sodium
Coleslaw,costa-rica,Low-Carb
Baguette,armenia,Flexitarian
Borscht,paraguay,Pescatarian
Pancakes,egypt,Vegan
Bratwurst,french-polynesia,Paleo
Pancakes,egypt,Gluten-Free
Bento Box,burundi,Whole30
Clam Chowder,malawi,High-Protein
Jambalaya,belgium,Mediterranean
Gumbo,faroe-islands,Gluten-Free
Pierogi,bosnia-and-herzegovina,Sugar-Free
Salad,botswana,Pescatarian
Croissant,pakistan,Raw Food
Gnocchi,sao-tome-and-principe,Whole30
Laksa,rwanda,Low-Fat
Tempura,seychelles,Diabetic-Friendly
Samosa,georgia,Anti-Inflammatory
Pozole,mauritania,Low-Carb
Fish and Chips,poland,Vegan
Pizza,dominican-republic,High-Protein
Baguette,italy,Mediterranean
Pozole,botswana,Dairy-Free
Hotdog,fiji,Keto
Jambalaya,belgium,Low-Sodium
Pierogi,nicaragua,Gluten-Free
Risotto,madagascar,FODMAP
Barbecue Ribs,israel,Low-Carb
Gumbo,faroe-islands,Paleo
Miso Soup,china,Gluten-Free
Roti,papua-new-guinea,Flexitarian
Baguette,congo-democratic-republic-of-the,Raw Food
Borscht,china,Diabetic-Friendly
Carrot Cake,sri-lanka,Low-Sodium
